Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Engine Condition
1161,3.917831065,4.313888583,1.856955376,75.42774511,74.67580475,1
403,2.623912812,4.34994243,1.437512309,75.55099274,74.1240299,1
532,2.584221496,6.978570048,2.516974608,81.48416612,67.73312968,1
345,1.985560292,8.95260822,3.534384826,74.55123093,69.69879717,1
451,2.512356995,5.452655214,1.593492647,75.97447857,78.9122667,0
1295,2.983157708,6.009093252,2.386411869,77.60476305,87.13975426,0
892,4.405261806,10.17547666,2.923357443,76.32918049,71.36058468,1
396,3.915318321,7.996675362,1.911079249,74.33505056,74.79707535,0
547,2.488907797,4.112175162,1.748774422,77.94244526,90.45823905,1
1136,3.039868114,5.951566132,3.092261065,76.83540959,90.32683986,0
486,4.272742862,3.462163533,1.690207971,75.56920313,73.46350413,1
1279,2.002774228,6.769641815,1.879476692,76.25931276,84.42671939,0
756,2.243621482,6.409171272,2.19695888,75.02488288,76.16759796,1
792,4.879124551,3.921908699,2.941516489,77.27165323,85.56519045,0
610,4.362790268,1.737233963,4.572127304,73.26617535,74.99791382,1
745,4.104788581,4.946475064,2.856015785,77.55340331,89.75559365,1
628,3.929800733,4.72784504,1.78263555,82.98984938,75.23122643,1
1220,3.646510793,6.136674569,3.597194603,74.12660149,76.95650213,0
907,1.105564518,10.13289483,1.534424936,74.88737418,72.93676893,1
422,2.659720363,17.179589,2.275323179,77.38908979,81.10987707,1
798,2.797812699,10.38851438,1.592542447,81.65729624,67.1809629,1
1204,3.401066285,6.446008889,2.68439707,75.12487718,74.84031436,1
1603,3.797821418,7.942447937,1.51695546,78.15212937,79.16223569,0
1204,4.95478515,5.332384236,3.721466552,75.86186375,81.87259106,1
1234,2.180761605,6.401545319,2.133356531,76.29952287,78.0465146,0
718,3.977023215,5.641764643,2.406678006,78.01118604,80.20967728,1
641,3.417078761,10.31878169,1.917357689,77.30863466,77.22594581,1
705,2.929417899,4.753152908,1.616130168,75.95623867,80.62987074,1
851,3.67571017,8.08276991,2.546937699,86.79420736,87.00166627,1
1188,2.278546913,4.922829391,1.800800953,82.70094856,84.70438955,1
681,2.034453771,4.549622509,4.433294097,74.65812287,74.71529509,1
929,2.610431807,6.042660222,1.848788732,84.90082873,74.59369092,0
673,4.540598623,7.941643286,1.89673376,76.39082322,78.88452044,1
495,2.547830297,6.30459767,1.023898624,77.22903025,78.53021286,1
767,3.53485651,4.487744997,1.562512513,76.24469511,81.39828726,0
1306,4.780673354,8.903465927,1.803073855,74.64903106,83.38557061,1
581,3.609292425,2.676624164,2.428149149,76.50239987,83.51458907,1
1095,1.780945669,6.519416597,1.560544242,74.02024865,91.09546091,1
1222,0.226517282,5.742672629,2.632653866,78.4248822,70.84288141,0
830,2.30298628,9.737316803,2.459955222,77.70397976,78.64207202,1
582,2.036104809,8.21435189,2.604973808,75.18275621,74.94512191,1
1342,3.696631326,2.864881016,2.796276005,78.18222493,91.45622625,0
562,5.124418472,8.006499544,2.803562035,76.31771507,77.38640881,1
732,5.24056705,5.325069987,2.459200307,76.21308585,67.03796366,1
932,2.925950837,6.020245126,1.686123935,75.75442901,74.69902169,0
1001,4.712812097,10.09360017,3.147879397,83.4949219,70.129844,1
776,5.194290053,1.251399326,1.853341803,74.61738784,70.7876277,1
598,5.029212311,6.816628939,1.792571814,84.22261516,81.05080595,1
644,4.575478145,10.54245493,1.944643714,76.3906263,81.72759264,1
370,1.937570379,4.531937223,1.470269459,77.05104996,85.805921,1
450,3.077960509,6.60967159,3.089760936,75.06189824,68.0651558,1
995,2.511237745,19.85891723,2.151934109,82.08470969,79.95980245,0
654,4.24364421,4.488758104,2.168079353,76.34734278,82.90147377,0
661,2.589186055,8.001568968,2.240260749,85.10212117,67.03968622,1
647,4.272418919,4.447126598,2.510267691,77.10013137,77.8346787,1
569,1.754732265,6.863574417,2.336859763,77.20916174,66.83489709,1
586,4.068135508,5.859552155,2.321676977,84.0531,77.12418178,0
668,3.213248403,16.20179571,2.493241746,83.33652873,73.57923757,1
944,3.336739885,6.430121819,4.798936206,78.89095655,88.97491246,1
819,3.329368548,8.768221001,2.534005949,82.54786007,75.29174797,1
1165,4.191642136,4.410885117,2.750032495,76.60609435,86.59783474,0
1038,5.436102893,10.95927706,2.05376984,77.20127332,76.66664319,1
803,4.265807699,5.328792676,1.621545119,75.56654654,73.02327331,1
547,3.06027283,6.475086215,3.078960408,74.77141676,71.02337967,1
502,4.352055425,5.07876645,5.869220121,74.73452244,75.91305861,1
678,3.687897893,6.545197947,5.32861728,74.62281125,84.23398592,1
714,2.302648835,7.50540247,4.935570029,83.34412655,71.82180096,1
1182,5.827862768,6.503652518,2.084228586,75.72338686,78.26381753,1
892,4.019692936,10.72003637,1.41693883,82.41109758,79.62976519,1
570,2.702416881,6.30579412,1.671942939,75.52934533,77.13490217,1
623,2.713975696,3.779507729,1.643577723,74.60824467,74.58175449,1
439,4.177911598,4.912298773,1.917230229,76.60795562,85.64628029,1
1024,5.111173183,7.640231413,1.355008584,78.40145116,81.08863251,1
1315,2.849190958,10.79314963,1.524400363,78.06878697,72.0048926,0
639,3.633028682,6.890670257,2.161282205,82.79368928,79.92773601,1
1481,3.972600005,5.701679579,1.556111313,75.99768995,93.79160853,0
918,4.250433165,3.389743475,1.068131397,82.35641866,89.5509751,1
647,2.663503039,2.818298246,1.803563842,75.74670525,78.7406319,1
644,3.131404814,13.04626635,2.672960842,77.17601339,72.33692208,1
1048,4.063373668,5.387180045,0.843078844,77.71542278,77.3164414,1
870,5.106630655,9.066322533,2.96166241,77.58624516,82.96249552,1
916,4.962123069,10.67805757,2.024319873,76.16545207,73.04965875,0
1084,4.160295286,7.529315103,2.17393423,85.6153328,85.18320117,0
943,4.300865279,7.487550608,1.775949362,76.9063752,75.01279599,1
858,3.361348562,11.19818005,4.392487413,74.66565767,82.30176467,0
1035,3.504249412,10.83670438,2.52081479,76.67564701,79.03622192,1
1068,4.170125557,5.85319652,3.168038995,75.74238078,82.70846733,1
743,4.521708406,7.787334931,1.251312239,78.0973491,84.62915417,0
1654,5.562301974,8.790793411,3.074888831,75.89328071,83.94447725,1
718,4.235727994,6.045670283,1.240987766,76.08874208,79.06988322,1
731,2.857614898,4.565751276,1.770651208,83.24619035,82.74613636,0
576,3.13043964,8.540327841,2.151822868,76.07967088,92.56519107,1
589,4.478804848,6.929054099,1.502879022,77.24704871,65.3644981,1
1266,2.358972399,3.591274608,1.871494436,75.61556648,82.56797001,1
1102,3.94680169,6.099191739,1.647065416,77.67093533,74.58824494,1
641,2.651010348,4.933257005,1.734147576,76.33971183,77.30958371,0
1331,2.310082322,6.926832174,1.465488271,77.08798849,83.25931245,0
518,2.368732537,5.181676507,5.214254895,83.4016474,77.9827463,0
589,2.05068795,8.368528613,3.142069213,75.22897588,77.6408445,1
517,3.791252233,9.300223919,1.330424105,81.4914578,71.00277294,1
1245,2.030880233,4.968979683,2.47361503,85.51648604,83.87822946,1
495,2.073846717,3.149150129,1.646737339,77.5038916,90.15148796,1
724,4.65276207,2.562733452,1.254395632,77.20692666,79.12647503,1
888,3.67568522,5.202422536,1.18049067,76.16710877,85.63597131,1
648,3.986151985,3.097112308,1.788459807,75.75775079,81.33392251,0
855,2.13431829,3.553043548,1.546500984,76.30166541,85.38969491,0
1013,4.012092767,6.458260081,1.756424315,77.82188429,73.43162614,1
404,2.443847667,9.902527372,1.544965681,78.14175766,76.967926,1
685,2.655124644,1.060119656,3.530721971,72.82099535,79.56126749,0
634,1.673427545,7.033303724,2.331197637,77.130718,78.58909607,0
1358,2.703054553,4.519143426,2.856209882,76.61686563,79.33068664,0
1628,4.693426328,6.369415761,1.607819758,75.13868096,73.74444603,0
1410,3.231059198,5.121068638,3.80723941,74.27619786,88.4249519,0
612,4.442201351,9.970847628,2.403872533,78.40273048,74.52376096,1
772,2.210096653,4.448023339,2.525883944,77.49295361,80.20605648,0
663,2.312542178,2.680503955,2.538814767,78.45484103,71.32935252,1
861,2.385422313,3.257420964,1.06952001,75.00655527,77.4737923,0
800,3.587332631,6.834433236,1.43058125,76.53086917,82.10173502,1
666,1.657211511,6.670047369,3.145315661,74.71803052,71.67766663,0
1448,4.0500336,15.75552246,0.880188041,76.32156842,85.0013187,0
590,4.014642456,4.127343047,1.667355978,77.86041202,81.38470515,0
609,2.405668359,12.10256145,2.497761301,77.7578079,80.5443895,1
1161,3.408980023,5.261298753,2.729079063,75.01608621,66.09409732,0
1006,5.784903129,9.739655158,1.194496746,76.47249045,74.18114363,1
696,4.026456069,14.79662373,2.021461198,75.22272566,73.76597071,0
1079,3.693757821,9.426638479,1.897523488,76.96072051,75.58889397,1
1090,5.178760038,16.45837526,5.214666025,83.52003956,91.83188976,1
488,3.30768441,5.808764485,1.200026781,75.11459007,84.0851227,1
564,4.506464093,7.504776098,2.51856622,74.84790701,67.33581019,1
1488,3.575575038,5.193992295,3.046895598,78.69122654,79.47526981,0
663,4.206501844,3.988767342,1.221481825,76.75459946,84.64264343,1
1058,2.935019898,16.84128453,2.99052905,81.06337064,75.31862576,0
559,3.102648051,4.059546349,2.988413168,76.57888881,77.66723358,1
1009,3.91825598,5.893327092,1.038322846,76.43713664,79.28923924,0
667,3.409055415,9.506974445,2.886306714,76.85529824,71.02332019,0
1054,5.122218416,8.141770455,1.761410191,75.74795432,76.5496268,0
671,4.838685079,7.680078345,2.638915519,81.53419887,85.05272667,1
480,5.014930105,7.793114451,1.14449903,77.39689181,69.77165407,1
780,2.714392889,7.903468973,2.184257516,80.00459089,83.87523098,1
663,5.478452182,7.052038377,1.227311003,75.43200268,75.04337812,0
496,3.051490477,2.145658582,1.835981712,75.96812981,79.20010326,1
718,3.888638288,6.586809967,2.945893557,74.90862257,75.08671729,1
1068,2.929768155,4.411199918,1.360951261,75.46864864,85.96671197,1
698,3.05975835,5.809544861,1.865823226,75.30984378,81.88776387,1
